Municipio,SE,Casos,Mediana,Q1,Q3
Marilândia,3,3.0,0.0,0.0,0.5
Marilândia,4,3.0,0.0,0.0,2.25
Marilândia,5,1.0,0.0,0.0,2.25
Marilândia,6,3.0,0.0,0.0,4.25
Marilândia,7,4.0,0.0,0.0,4.5
Marilândia,8,6.0,1.0,0.0,5.5
Marilândia,9,1.0,0.0,0.0,5.25
Marilândia,10,7.0,0.5,0.0,6.0
Marilândia,11,4.0,0.0,0.0,3.5
Marilândia,12,1.0,0.0,0.0,8.25
Marilândia,13,2.0,1.0,0.0,5.75
Marilândia,14,2.0,0.0,0.0,6.75
Marilândia,15,2.0,0.0,0.0,7.5
Marilândia,16,0.0,0.0,0.0,3.75
Marilândia,17,1.0,0.0,0.0,2.5
Marilândia,18,4.0,1.0,0.0,2.5
Marilândia,19,3.0,0.0,0.0,1.75
Marilândia,20,2.0,0.0,0.0,0.75
Marilândia,21,1.0,0.5,0.0,1.25
Marilândia,22,0.0,0.0,0.0,1.5
Marilândia,23,5.0,0.0,0.0,0.25
Marilândia,24,2.0,0.0,0.0,1.0
Marilândia,25,0.0,0.5,0.0,1.5
Marilândia,26,3.0,0.0,0.0,0.5
Marilândia,27,4.0,0.0,0.0,2.75
Marilândia,28,1.0,0.0,0.0,1.75
Marilândia,29,2.0,0.0,0.0,1.5
Marilândia,30,2.0,0.0,0.0,0.25
Marilândia,31,4.0,0.0,0.0,0.0
Marilândia,32,2.0,0.0,0.0,0.25
Marilândia,33,3.0,0.0,0.0,1.0
Marilândia,34,1.0,0.0,0.0,0.25
Marilândia,35,1.0,0.0,0.0,0.25
Marilândia,36,0.0,0.0,0.0,0.0
Marilândia,37,,0.0,0.0,0.25
Marilândia,38,,0.0,0.0,1.0
Marilândia,39,,0.0,0.0,0.25
Marilândia,40,,0.0,0.0,0.5
Marilândia,41,,0.0,0.0,1.0
Marilândia,42,,0.0,0.0,0.75
Marilândia,43,,0.0,0.0,1.0
Marilândia,44,,0.0,0.0,1.0
Marilândia,45,,0.0,0.0,0.25
Marilândia,46,,0.0,0.0,0.25
Marilândia,47,,0.0,0.0,0.0
Marilândia,48,,0.0,0.0,0.0
Marilândia,49,,0.0,0.0,0.25
Marilândia,50,,0.0,0.0,0.0
Marilândia,51,,0.0,0.0,1.0
Marilândia,52,,0.0,0.0,1.0
Pancas,1,3.0,0.0,0.0,5.0
Pancas,2,2.0,0.0,0.0,4.0
Pancas,3,4.0,0.0,0.0,6.0
Pancas,4,8.0,0.0,0.0,7.25
Pancas,5,7.0,0.0,0.0,12.0
Pancas,6,4.0,0.0,0.0,18.75
Pancas,7,18.0,1.5,0.0,13.25
Pancas,8,27.0,0.0,0.0,16.75
Pancas,9,46.0,0.0,0.0,16.5
Pancas,10,53.0,1.0,0.0,7.0
Pancas,11,103.0,1.0,0.0,7.0
Pancas,12,91.0,0.5,0.0,4.75
Pancas,13,98.0,1.0,0.0,6.75
Pancas,14,109.0,1.0,0.0,3.75
Pancas,15,119.0,1.0,0.0,6.75
Pancas,16,121.0,0.5,0.0,12.0
Pancas,17,98.0,2.0,0.0,6.75
Pancas,18,66.0,1.0,0.0,4.25
Pancas,19,27.0,1.0,0.0,7.5
Pancas,20,23.0,1.0,0.0,6.0
Pancas,21,18.0,0.0,0.0,6.0
Pancas,22,11.0,0.0,0.0,2.0
Pancas,23,6.0,0.5,0.0,2.0
Pancas,24,4.0,0.0,0.0,3.75
Pancas,25,10.0,0.5,0.0,2.0
Pancas,26,7.0,0.0,0.0,2.0
Pancas,27,4.0,0.0,0.0,6.0
Pancas,28,5.0,0.0,0.0,1.5
Pancas,29,3.0,0.0,0.0,1.5
Pancas,30,4.0,0.0,0.0,0.75
Pancas,31,10.0,0.0,0.0,1.0
Pancas,32,4.0,0.0,0.0,0.0
Pancas,33,2.0,0.0,0.0,0.0
Pancas,34,3.0,0.0,0.0,0.25
Pancas,35,0.0,0.0,0.0,0.0
Pancas,36,3.0,0.0,0.0,1.0
Pancas,37,,0.0,0.0,0.25
Pancas,38,,0.0,0.0,1.0
Pancas,39,,0.0,0.0,0.75
Pancas,40,,0.0,0.0,0.25
Pancas,41,,0.0,0.0,0.0
Pancas,42,,0.0,0.0,2.25
Pancas,43,,0.0,0.0,0.25
Pancas,44,,0.0,0.0,0.0
Pancas,45,,0.0,0.0,0.0
Pancas,46,,0.0,0.0,0.0
Pancas,47,,0.0,0.0,0.0
Pancas,48,,0.0,0.0,0.0
Pancas,49,,0.0,0.0,2.25
Pancas,50,,0.0,0.0,1.5
Pancas,51,,0.0,0.0,1.25
Pancas,52,,0.0,0.0,0.25
Rio Bananal,1,9.0,0.0,0.0,0.25
Rio Bananal,2,4.0,0.0,0.0,1.0
Rio Bananal,3,5.0,0.0,0.0,0.25
Rio Bananal,4,6.0,0.0,0.0,1.25
Rio Bananal,5,3.0,0.0,0.0,3.0
Rio Bananal,6,4.0,0.0,0.0,2.5
Rio Bananal,7,3.0,0.0,0.0,1.25
Rio Bananal,8,3.0,0.0,0.0,3.25
Rio Bananal,9,9.0,0.0,0.0,1.5
Rio Bananal,10,14.0,0.0,0.0,1.0
Rio Bananal,11,12.0,0.5,0.0,4.75
Rio Bananal,12,6.0,1.0,0.0,1.5
Rio Bananal,13,6.0,0.0,0.0,1.0
Rio Bananal,14,5.0,0.0,0.0,1.5
Rio Bananal,15,5.0,0.0,0.0,1.25
Rio Bananal,16,10.0,0.0,0.0,2.5
Rio Bananal,17,6.0,0.0,0.0,1.25
Rio Bananal,18,5.0,1.0,0.0,3.75
Rio Bananal,19,2.0,0.0,0.0,5.0
Rio Bananal,20,2.0,0.5,0.0,4.75
Rio Bananal,21,1.0,0.5,0.0,6.0
Rio Bananal,22,3.0,0.0,0.0,6.75
Rio Bananal,23,4.0,0.0,0.0,5.5
Rio Bananal,24,1.0,0.0,0.0,6.0
Rio Bananal,25,1.0,0.0,0.0,3.5
Rio Bananal,26,3.0,0.5,0.0,3.5
