MUNICIPIO,SE,CASOS
SAO ROQUE DO CANAA,26,0
SAO ROQUE DO CANAA,27,0
SAO ROQUE DO CANAA,28,0
SAO ROQUE DO CANAA,29,0
SAO ROQUE DO CANAA,30,0
SAO ROQUE DO CANAA,31,0
SAO ROQUE DO CANAA,32,0
SAO ROQUE DO CANAA,33,0
SAO ROQUE DO CANAA,34,0
SAO ROQUE DO CANAA,35,0
SAO ROQUE DO CANAA,36,0
SAO ROQUE DO CANAA,37,0
SAO ROQUE DO CANAA,38,2
SAO ROQUE DO CANAA,39,0
SAO ROQUE DO CANAA,40,0
SAO ROQUE DO CANAA,41,0
SAO ROQUE DO CANAA,42,0
SAO ROQUE DO CANAA,43,0
SAO ROQUE DO CANAA,44,0
SAO ROQUE DO CANAA,45,0
SAO ROQUE DO CANAA,46,0
SAO ROQUE DO CANAA,47,0
SAO ROQUE DO CANAA,48,0
SAO ROQUE DO CANAA,49,0
SAO ROQUE DO CANAA,50,0
SAO ROQUE DO CANAA,51,0
SAO ROQUE DO CANAA,52,0
SAO ROQUE DO CANAA,53,0
SOORETAMA,1,0
SOORETAMA,2,0
SOORETAMA,3,0
SOORETAMA,4,0
SOORETAMA,5,0
SOORETAMA,6,0
SOORETAMA,7,0
SOORETAMA,8,0
SOORETAMA,9,0
SOORETAMA,10,0
SOORETAMA,11,0
SOORETAMA,12,1
SOORETAMA,13,0
SOORETAMA,14,0
SOORETAMA,15,0
SOORETAMA,16,0
SOORETAMA,17,0
SOORETAMA,18,0
SOORETAMA,19,1
SOORETAMA,20,0
SOORETAMA,21,1
SOORETAMA,22,0
SOORETAMA,23,0
SOORETAMA,24,0
SOORETAMA,25,0
SOORETAMA,26,1
SOORETAMA,27,0
SOORETAMA,28,0
SOORETAMA,29,0
SOORETAMA,30,0
SOORETAMA,31,0
SOORETAMA,32,0
SOORETAMA,33,0
SOORETAMA,34,0
SOORETAMA,35,0
SOORETAMA,36,1
SOORETAMA,37,0
SOORETAMA,38,1
SOORETAMA,39,0
SOORETAMA,40,0
SOORETAMA,41,0
SOORETAMA,42,0
SOORETAMA,43,0
SOORETAMA,44,0
SOORETAMA,45,0
SOORETAMA,46,0
SOORETAMA,47,0
SOORETAMA,48,0
SOORETAMA,49,0
SOORETAMA,50,0
SOORETAMA,51,0
SOORETAMA,52,0
SOORETAMA,53,0
VILA VALERIO,1,0
VILA VALERIO,2,0
VILA VALERIO,3,0
VILA VALERIO,4,0
VILA VALERIO,5,0
VILA VALERIO,6,0
VILA VALERIO,7,0
VILA VALERIO,8,0
VILA VALERIO,9,0
VILA VALERIO,10,1
VILA VALERIO,11,0
VILA VALERIO,12,1
VILA VALERIO,13,0
VILA VALERIO,14,0
VILA VALERIO,15,0
VILA VALERIO,16,0
VILA VALERIO,17,0
VILA VALERIO,18,0
VILA VALERIO,19,0
VILA VALERIO,20,0
VILA VALERIO,21,0
VILA VALERIO,22,0
VILA VALERIO,23,0
VILA VALERIO,24,0
VILA VALERIO,25,0
VILA VALERIO,26,0
VILA VALERIO,27,0
VILA VALERIO,28,0
VILA VALERIO,29,0
VILA VALERIO,30,0
VILA VALERIO,31,0
VILA VALERIO,32,0
VILA VALERIO,33,0
VILA VALERIO,34,0
VILA VALERIO,35,1
VILA VALERIO,36,0
VILA VALERIO,37,0
VILA VALERIO,38,1
VILA VALERIO,39,0
VILA VALERIO,40,0
VILA VALERIO,41,0
VILA VALERIO,42,0
VILA VALERIO,43,0
VILA VALERIO,44,0
VILA VALERIO,45,0
VILA VALERIO,46,0
VILA VALERIO,47,0
VILA VALERIO,48,0
VILA VALERIO,49,0
VILA VALERIO,50,0
VILA VALERIO,51,0
VILA VALERIO,52,0
VILA VALERIO,53,0
REGIONAL,1,22
REGIONAL,2,17
REGIONAL,3,22
REGIONAL,4,26
REGIONAL,5,35
REGIONAL,6,42
REGIONAL,7,64
REGIONAL,8,109
REGIONAL,9,163
REGIONAL,10,101
REGIONAL,11,174
REGIONAL,12,156
REGIONAL,13,149
REGIONAL,14,152
REGIONAL,15,162
REGIONAL,16,142
REGIONAL,17,125
REGIONAL,18,81
REGIONAL,19,59
REGIONAL,20,42
REGIONAL,21,40
REGIONAL,22,22
REGIONAL,23,10
REGIONAL,24,23
REGIONAL,25,17
REGIONAL,26,16
REGIONAL,27,15
REGIONAL,28,9
REGIONAL,29,17
REGIONAL,30,12
REGIONAL,31,22
REGIONAL,32,18
REGIONAL,33,5
REGIONAL,34,28
REGIONAL,35,48
REGIONAL,36,35
REGIONAL,37,48
REGIONAL,38,32
REGIONAL,39,0
REGIONAL,40,0
REGIONAL,41,0
REGIONAL,42,0
REGIONAL,43,0
REGIONAL,44,0
REGIONAL,45,0
REGIONAL,46,0
REGIONAL,47,0
REGIONAL,48,0
REGIONAL,49,0
REGIONAL,50,0
REGIONAL,51,0
REGIONAL,52,0
REGIONAL,53,0
